date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-01-01 00:00:00,19.5,6.36,5.94,0.00863,88.28,83.18,0,Weekday,Monday,Light_Load
2018-01-01 00:15:00,102.96,27.4,0.0,0.049358,93.88,80.26,900,Weekday,Monday,Maximum_Load
2018-01-01 00:30:00,60.95,9.48,1.48,0.03068,90.93,92.22,1800,Weekday,Monday,Medium_Load
2018-01-01 00:45:00,14.69,3.44,2.95,0.002899,74.85,95.83,2700,Weekday,Monday,Light_Load
2018-01-01 01:00:00,12.98,4.38,5.44,0.002893,70.58,89.48,3600,Weekday,Monday,Light_Load
2018-01-01 01:15:00,11.6,3.99,3.53,0.005299,76.19,86.53,4500,Weekday,Monday,Light_Load
2018-01-01 01:30:00,11.13,6.23,3.04,0.005627,72.16,88.22,5400,Weekday,Monday,Light_Load
2018-01-01 01:45:00,46.95,10.33,1.78,0.023214,98.45,85.51,6300,Weekday,Monday,Medium_Load
2018-01-01 02:00:00,44.36,6.79,1.6,0.023407,77.82,88.72,7200,Weekday,Monday,Medium_Load
2018-01-01 02:15:00,35.4,7.2,0.71,0.015861,87.22,96.6,8100,Weekday,Monday,Medium_Load
2018-01-01 02:30:00,8.89,0.0,3.19,0.003541,70.64,79.73,9000,Weekday,Monday,Light_Load
2018-01-01 02:45:00,86.12,20.55,3.08,0.043603,88.57,90.46,9900,Weekday,Monday,Maximum_Load
2018-01-01 03:00:00,42.02,9.42,1.42,0.02156,76.13,93.62,10800,Weekday,Monday,Medium_Load
2018-01-01 03:15:00,9.63,6.29,3.27,0.003869,72.45,96.21,11700,Weekday,Monday,Light_Load
2018-01-01 03:30:00,25.61,4.2,0.65,0.013427,71.55,81.53,12600,Weekday,Monday,Light_Load
2018-01-01 03:45:00,33.33,11.59,0.0,0.016664,82.82,95.63,13500,Weekday,Monday,Light_Load
2018-01-01 04:00:00,27.03,2.99,2.57,0.013707,73.61,94.04,14400,Weekday,Monday,Light_Load
2018-01-01 04:15:00,13.72,0.48,2.5,0.009595,82.31,81.37,15300,Weekday,Monday,Light_Load
2018-01-01 04:30:00,19.22,0.0,2.18,0.00745,80.82,93.9,16200,Weekday,Monday,Light_Load
2018-01-01 04:45:00,32.06,8.77,2.58,0.016991,79.24,91.66,17100,Weekday,Monday,Light_Load
2018-01-01 05:00:00,32.22,10.25,5.74,0.018562,94.24,88.44,18000,Weekday,Monday,Medium_Load
2018-01-01 05:15:00,26.16,7.29,1.36,0.013557,74.06,84.39,18900,Weekday,Monday,Light_Load
2018-01-01 05:30:00,8.37,5.09,5.12,0.00441,81.53,77.61,19800,Weekday,Monday,Light_Load
2018-01-01 05:45:00,33.46,3.21,3.16,0.016221,83.24,75.28,20700,Weekday,Monday,Light_Load
2018-01-01 06:00:00,43.55,10.97,5.23,0.023759,83.79,79.13,21600,Weekday,Monday,Medium_Load
2018-01-01 06:15:00,83.42,28.06,2.94,0.042941,82.0,99.08,22500,Weekday,Monday,Medium_Load
2018-01-01 06:30:00,33.78,7.39,4.31,0.018911,79.83,85.31,23400,Weekday,Monday,Light_Load
2018-01-01 06:45:00,48.31,13.86,0.42,0.027751,90.43,92.25,24300,Weekday,Monday,Medium_Load
2018-01-01 07:00:00,39.04,11.83,0.77,0.019203,81.84,90.68,25200,Weekday,Monday,Medium_Load
2018-01-01 07:15:00,21.29,10.31,0.0,0.009273,72.14,95.52,26100,Weekday,Monday,Light_Load
2018-01-01 07:30:00,46.92,6.91,5.39,0.022886,98.09,98.55,27000,Weekday,Monday,Medium_Load
2018-01-01 07:45:00,16.27,7.51,0.84,0.010232,82.47,85.85,27900,Weekday,Monday,Light_Load
2018-01-01 08:00:00,6.07,0.0,1.25,0.005996,84.09,99.58,28800,Weekday,Monday,Light_Load
